sampleID	ENSG00000049768.15	ENST00000376207.9	ENST00000376199.7
SRR8518237	0.144709	0	0
SRR8518238	0.077478	0.077478	0
SRR8518239	0.374776	0.171167	0
SRR8518240	0.128991	0.128991	0
SRR8518241	0.242972	0.081634	0
SRR8518242	0.113012	0	0.113012
SRR8518243	0.042607	0.042607	0
SRR8518244	0.781696	0.500818	0.280878
SRR8518245	0.147016	0.075486	0.07153
SRR8518246	0.394064	0.249499	0
SRR8518247	0.191831	0.164039	0
SRR8518248	0.162775	0.047331	0
SRR8518249	0.349482	0.154135	0
SRR8518250	0.132599	0.068252	0
SRR8518251	0.13404	0.08006	0
SRR8518252	0.604508	0.3765	0.202855
SRR8518253	0.502771	0.371831	0.10027
SRR8518254	0.114091	0.018848	0
SRR8518255	0.268283	0.072038	0.05009
SRR8518256	0.103535	0.073794	0.013295
SRR8518257	0.095271	0.052972	0
SRR8518258	0.660987	0.487295	0
SRR8518259	0.163041	0.06026	0
SRR8518260	0.09178	0.09178	0
SRR8518261	0.846532	0.308973	0.416128
SRR8518262	0.251093	0.227544	0.023549
SRR8518263	1.451511	0.706512	0.478923
SRR8518264	0.362142	0.235442	0
SRR8518265	0.668454	0.391788	0
SRR8518266	1.290957	0.583358	0.214588
SRR8518267	0.299837	0.209984	0
SRR8518268	0.156526	0.041215	0
SRR8518269	0.166326	0.146079	0
SRR8518270	0.260717	0.167183	0
SRR8518271	0.089002	0.010031	0
SRR8518272	0.00751	0.00751	0
SRR8518273	0.07769	0.07769	0
SRR8518274	0.454123	0.120329	0.098301
SRR8518275	0.191306	0.069448	0
SRR8518276	1.101895	0.874675	0
SRR8518277	0.470087	0.30698	0
SRR8518278	0.253415	0.171127	0
SRR8518279	0.160475	0.055825	0
SRR8518280	0.123432	0	0
SRR8518281	0.196781	0.157925	0.038856
SRR8518282	0.123455	0.123455	0
SRR8518283	0.183868	0.138117	0
SRR8518284	0.149562	0.090296	0
SRR8518285	0.649327	0.343884	0.189929
SRR8518286	0.390939	0.199181	0.092959
SRR8518287	0.566143	0.216556	0.305036
SRR8518288	0.906987	0.60534	0
SRR8518289	0.447797	0.33514	0.112657
SRR8518290	0.291406	0.291406	0
SRR8518291	0.571321	0.291481	0.171055
SRR8518292	0.395172	0.121172	0.178846
SRR8518293	0.05806	0.029068	0
SRR8518294	0.195782	0.096094	0
SRR8518295	0.342115	0.17396	0.041602
SRR8518296	1.146706	0.648451	0.340575
SRR8518297	0.745114	0.263134	0.309323
SRR8518298	0.172582	0.082877	0.089705
SRR8518299	0.133861	0.133861	0
SRR8518300	0.516269	0.290789	0.107648
SRR8518301	0.166035	0.086133	0
SRR8518302	0.177462	0.125048	0.052414
SRR8518303	0.877649	0.402012	0.207122
SRR8518304	0.136999	0.078634	0
SRR8518305	0.708802	0.332335	0.128224
SRR8518306	0.134353	0.082659	0
SRR8518307	0.280057	0.227063	0
SRR8518308	1.131713	0.640273	0.276913
SRR8518309	0.366596	0.15585	0
SRR8518310	0.206313	0.124456	0
SRR8518311	0.121835	0.121835	0
SRR8518312	0.445283	0.271682	0
SRR8518313	0.500675	0.278931	0.077799
SRR8518314	0.557756	0.316473	0.216577
SRR8518315	0.184782	0.089509	0
SRR8518316	0.336626	0.23276	0.103866
SRR8518317	0.163401	0.071805	0.062056
SRR8518318	0.124872	0.029714	0
SRR8518319	0.13268	0.062058	0
SRR8518320	0.039923	0.039923	0
SRR8518321	0.117582	0.076145	0
SRR8518322	0.069114	0.069114	0
SRR8518323	0.377759	0.209368	0.168391
SRR8518324	0.343823	0.168041	0
SRR8518325	0.195755	0.126909	0.068846
SRR8518326	0.263103	0.263103	0
SRR8518327	0.113495	0.059214	0
SRR8518328	0.376675	0.123736	0.126046
SRR8518329	0.187037	0.135693	0
SRR8518330	1.387284	0.817608	0.253251
SRR8518331	0.265471	0.172662	0
SRR8518332	0.538514	0.203693	0
SRR8518333	0.306168	0.192107	0
SRR8518334	0.209095	0.209095	0
SRR8518335	0.756492	0.362356	0
SRR8518336	0.041818	0.041818	0
SRR8518337	0.136775	0.136775	0
SRR8518338	0.489622	0.188567	0.170554
SRR8518339	0.778774	0.446234	0
SRR8518340	0.15158	0.15158	0
SRR8518341	0.123066	0.092483	0
SRR8518342	0.425933	0.215556	0.184458
SRR8518343	0.403437	0.291235	0
SRR8518344	0.147081	0.060781	0
SRR8518345	0.071775	0.071775	0
SRR8518346	0.146288	0.146288	0
SRR8518347	0.088524	0.063404	0
SRR8518348	0.163487	0.109596	0
SRR8518349	0.385115	0.230008	0.155107
SRR8518350	0.250447	0.250447	0
SRR8518351	2.624906	0.530692	1.397612
SRR8518352	0.175858	0.103954	0
SRR8518353	0.633612	0.262927	0.204407
SRR8518354	0.344425	0.208774	0.083537
SRR8518355	0.456904	0.316468	0
SRR8518356	0.265167	0.265167	0
SRR8518357	0.641891	0.223617	0.201693
SRR8518358	0.174861	0.137538	0
SRR8518359	0.372073	0.201827	0
SRR8518360	0.300477	0.300477	0
SRR8518361	0.601546	0.443947	0
SRR8518362	0.527099	0.197334	0.296647
SRR8518363	0.268081	0.175599	0
SRR8518364	0.163795	0.069	0
SRR8518365	0.133959	0.062507	0
SRR8518366	0.309356	0.309356	0
SRR8518367	0.582925	0.330799	0.122221
SRR8518368	0.585488	0.314633	0.237645
SRR8518369	0.250176	0.121248	0
SRR8518370	0.220065	0.135838	0
SRR8518371	0.183849	0.183849	0
SRR8518372	0.626367	0.366008	0.260359
SRR8518373	0.285393	0.188521	0
SRR8518374	0.145482	0.145482	0
SRR8518375	0.1412	0.061337	0
SRR8518376	0.061204	0.061204	0
SRR8518377	0.416751	0.208098	0.183352
SRR8518378	0.133662	0.05913	0
SRR8518379	0.200455	0.123725	0
SRR8518380	0.235668	0.200424	0
SRR8518381	0.190549	0.190549	0
SRR8518382	0.831371	0.437582	0.236448
SRR8518383	0.017306	0.005762	0
SRR8518384	0.479961	0.311169	0
SRR8518385	0.304954	0.194552	0.110402
SRR8518386	0.497815	0.289387	0.162598
SRR8518387	2.104921	1.053971	0.88202
SRR8518388	1.098602	0.667217	0
SRR8518389	0.285054	0.146884	0
SRR8518390	0.771861	0.689096	0.082765
SRR8518391	0.899517	0.302283	0.328968
SRR8518392	1.389268	0.684117	0.705151
SRR8518393	1.805304	0.843257	0.54965
SRR8518394	0.095389	0.095389	0
SRR8518395	0.359447	0.302834	0
SRR8518396	0.336405	0.06706	0
SRR8518397	0.224785	0.224785	0
SRR8518398	0.447541	0.447541	0
SRR8518399	0.785546	0.217	0
SRR8518400	0.479005	0.249948	0.180027
SRR8518401	0.342401	0.220575	0
SRR8518402	0.092231	0.092231	0
SRR8518403	0.733326	0.263487	0
SRR8518404	1.080575	0.753699	0.220249
SRR8518405	0.208557	0.208557	0
SRR8518406	1.215121	0.666674	0.334502
SRR8518407	0.221745	0.221745	0
SRR8518408	0.245938	0.126491	0
SRR8518409	1.025847	0.448353	0
SRR8518410	0.411197	0.173367	0.23783
SRR8518411	0.254985	0.072289	0
SRR8518412	0.29152	0.139489	0
SRR8518413	0.298036	0.180979	0.117057
SRR8518414	0.257498	0.09046	0.167038
SRR8518415	0.259674	0.141214	0
SRR8518416	0.069276	0	0
SRR8518417	0.375828	0.132873	0.212088
SRR8518418	0.95536	0.458899	0
SRR8518419	0.4822	0.13876	0.34344
SRR8518420	0.262698	0.13285	0.129848
SRR8518421	0.553926	0.266015	0
SRR8518422	0.224232	0.125061	0.06433
SRR8518423	0.641043	0.393878	0.211139
SRR8518424	0.208065	0.149647	0
SRR8518425	0.577548	0.421744	0
SRR8518426	0.712388	0.271223	0.235379
SRR8518427	0.234692	0.234692	0
SRR8518428	0.457419	0.248041	0.137569
SRR8518429	0.428275	0.359758	0.034747
SRR8518430	0.803165	0.297424	0
SRR8518431	0.497895	0.141536	0.26042
SRR8518432	0.144067	0.084236	0
SRR8518433	0.131785	0.092953	0
SRR8518434	0.183555	0.125018	0
SRR8518435	0.335303	0.098089	0.196473
SRR8518436	0.174622	0.084033	0
SRR8518437	0.429322	0.185886	0.073695
SRR8518438	0.698632	0.349346	0
SRR8518439	0.152553	0.128967	0
SRR8518440	1.248415	0.176979	0.846532
SRR8518441	0.595539	0.27102	0
SRR8518442	0.830113	0.481521	0.095034
SRR8518443	0.193613	0.103158	0
SRR8518444	0.451776	0.301181	0
SRR8518445	0.31536	0.254555	0
SRR8518446	0.443018	0.314791	0
SRR8518447	0.149997	0.097954	0
SRR8518448	0.115409	0.053316	0.062093
SRR8518449	0.343473	0.152913	0
SRR8518450	0.137156	0.095103	0
SRR8518451	0.091334	0.01429	0
SRR8518452	0.312669	0.227663	0
SRR8518453	0.860609	0.528429	0.247376
SRR8518454	2.970571	1.086728	0.797737
SRR8613700	1.766467	1.358	0.277546
SRR8613701	1.386685	1.005134	0.068822
SRR8613702	2.338668	0.434765	1.144511
SRR8613703	0.360525	0.304321	0.056204
SRR8613704	1.35136	0.800181	0
SRR8613705	0.369971	0.173922	0
SRR8613706	2.327056	1.015734	1.224011
SRR8613707	1.83667	0.794418	0.821825
SRR8613708	0.600902	0.263672	0.33723
SRR8613709	0.98528	0.496597	0.292989
SRR8613710	2.967513	1.29424	0
SRR8613711	2.613139	1.019394	0.624364
SRR8613712	1.674848	1.503518	0.103017
SRR8613713	3.700685	1.868203	0.732517
SRR8613714	0.717652	0.144996	0
SRR8613715	1.072	0.853706	0.218294
SRR8613716	1.6428	1.063095	0.441704
SRR8613717	1.524743	0.988588	0
SRR8613718	1.262564	0.729303	0.533261
SRR8613719	3.786596	2.300474	1.486122
SRR8613720	1.213451	0.875127	0.1617
SRR8613721	1.1274	0.314342	0.369311
SRR8613722	2.141259	0.73407	0.685453
SRR8613723	3.31028	1.751288	0.73361
SRR8613724	2.534119	0.429193	0.734469
SRR8613725	0.635465	0.315559	0
SRR8613726	0.232237	0.164399	0
SRR8613727	1.14557	0.738437	0
SRR8613728	2.116096	1.511768	0.196041
SRR8613729	0.467017	0.396456	0
SRR8613730	0.979831	0.698436	0.281395
SRR8613731	0.605727	0.334013	0
SRR8613732	0.270216	0.142046	0
SRR8613733	1.3926	1.005575	0
SRR8613734	6.183545	4.149875	1.092825
SRR8613735	1.2833	0.818984	0
SRR8613736	0.464105	0.377735	0
SRR8613737	1.188188	0.305397	0.782083
SRR8613738	2.118258	1.142269	0.515809
SRR8613739	2.710246	2.155135	0
SRR8613740	0.161062	0.161062	0
SRR8613741	0.335259	0.335259	0
SRR8613742	0.20381	0.104537	0
SRR8613743	3.424403	1.096394	1.23114
SRR8613744	0.779178	0.226661	0
SRR8613745	1.018081	0.64859	0.322658
SRR8613746	2.517866	0.938523	0.537064
SRR8613747	0.515602	0.408979	0
SRR8613748	1.335906	0.702844	0
SRR8613749	1.183672	0.581727	0.480962
SRR8613750	5.452469	3.220971	0
SRR8613751	0.260733	0.143271	0.117462
SRR8613752	0.368098	0.147828	0
SRR8613753	0.895511	0.448762	0
SRR8613754	1.276729	1.075799	0.20093
SRR8613755	0.447317	0.403498	0.043819
SRR8613756	0.287164	0.163367	0
SRR8613757	1.073606	0.951018	0
SRR8613758	0.985222	0.691825	0
SRR8613759	1.449995	0.871467	0
SRR8613760	2.196191	0.993976	0
SRR8613761	1.165169	0.328213	0
SRR8613762	1.586447	0.956811	0
SRR8613763	5.308853	3.340673	1.581251
SRR8613764	0.604646	0.511556	0.09309
SRR8613765	1.69986	1.337442	0.06825
SRR8613766	1.841226	1.60962	0
SRR8613767	5.839732	2.766031	1.242409
SRR8613768	0.895542	0.097604	0
SRR8613769	1.624102	1.310098	0.262052
SRR8613770	2.429279	1.488786	0
SRR8613771	0.398387	0.262851	0
SRR8613772	0.845181	0.508719	0
SRR8613773	1.609243	0.914181	0.253373
SRR8613774	2.651451	1.610718	0.782705
SRR8613775	0.198822	0.133164	0
SRR8613776	1.296094	0.65395	0.561722
SRR8613777	1.011726	0.481302	0
SRR8613778	0.997386	0.997386	0
SRR8613779	0.677394	0.44143	0.187793
SRR8613780	2.777002	1.442066	0
SRR8613781	1.030535	0.794533	0
SRR8613782	2.617359	1.688723	0.928636
SRR8613783	0.649261	0.18754	0.091841
SRR8613784	5.442474	2.479262	0
SRR8613785	1.044436	0.472932	0.403058
SRR8613786	1.235089	0.21467	0.860827
SRR8613787	1.823513	0.907948	0.543041
SRR8613788	5.737598	1.984293	2.457264
SRR8613789	0.831714	0.533456	0.298258
SRR8613790	0.490954	0.454894	0
SRR8613791	0.435963	0.397406	0.038557
SRR8613792	0.525229	0.280325	0
SRR8613793	0.887685	0.691921	0
SRR8613794	1.318143	0.97279	0
SRR8613795	2.457729	0.66199	0.275065
SRR8613796	0.318589	0.155799	0.16279
SRR8613797	3.244544	1.443898	1.299351
SRR8613798	0.584454	0.584454	0
SRR8613799	0.349229	0.158278	0.190951
SRR8613800	0.690765	0.488373	0
SRR8613801	1.759141	0.984519	0
SRR8613802	2.147492	1.304591	0.277278
SRR8613803	2.723485	0.929308	0.0767
SRR8613804	1.216305	0.428756	0
SRR8613805	1.4156	0.829855	0.470613
SRR8613806	2.030372	1.297852	0
SRR8613807	0.173869	0.173869	0
SRR8613808	3.165118	3.165118	0
SRR8613809	0.116414	0.116414	0
SRR8613810	0.679199	0.610187	0
SRR8613811	1.164337	0.868578	0.295759
SRR8613812	1.697423	1.078132	0
SRR8613813	1.265555	0.710424	0
SRR8613814	1.830125	1.128416	0.701709
